date,Adj Close,Close,High,Low,Open,Volume,close,ret_1,ma_5,ma_10,ma_20,vol_10,vol_20,volume,vol_ma_10
,SPY,SPY,SPY,SPY,SPY,SPY,,,,,,,,,
2000-02-01,89.04464721679688,140.9375,141.6875,138.53125,139.75,8419900,140.9375,0.009852216748768461,139.4875,141.590625,142.5375,0.018311508366518917,0.021684101733530876,8419900.0,8322780.0
2000-02-02,89.1236343383789,141.0625,142.25,140.375,141.28125,6205900,141.0625,0.0008869179600887733,139.5375,140.996875,142.603125,0.017950318070894995,0.019779317097311365,6205900.0,8327580.0
2000-02-03,90.46622467041016,143.1875,143.25,140.0,140.875,7997500,143.1875,0.015064244572441376,140.125,140.840625,142.7625,0.01838300861143058,0.02004054136281277,7997500.0,8547320.0
2000-02-04,90.0910873413086,142.59375,144.0,142.125,143.1875,4925400,142.59375,-0.0041466608467918276,141.46875,140.65625,143.0046875,0.018408480520184525,0.019670016224633654,4925400.0,8415380.0
2000-02-07,89.95284271240234,142.375,142.78125,141.4375,142.5625,5845800,142.375,-0.0015340784571553634,142.03125,140.859375,142.8359375,0.01576791111454157,0.014565537317043027,5845800.0,8210270.0
2000-02-08,91.1770248413086,144.3125,144.5625,143.625,143.96875,4936400,144.3125,0.013608428446005183,142.70625,141.096875,142.7390625,0.015938708510770828,0.014904883844140229,4936400.0,7709660.0
2000-02-09,89.26183319091797,141.28125,144.46875,141.265625,144.46875,8511500,141.28125,-0.021004763967085283,142.75,141.14375,142.578125,0.017301564963090137,0.015397802947286397,8511500.0,8045000.0
2000-02-10,89.43952941894531,141.5625,142.5625,140.875,141.625,6690600,141.5625,0.001990710019907027,142.425,141.275,142.503125,0.017233438259640438,0.015264000759175105,6690600.0,7621790.0
2000-02-11,87.62309265136719,138.6875,141.9375,138.03125,141.84375,9849800,138.6875,-0.020309050772626902,141.64375,141.55625,142.1875,0.015192235739543758,0.015509602534192615,9849800.0,7415150.0
2000-02-14,88.13646697998047,139.5,139.78125,138.3125,139.78125,8528800,139.5,0.005858494817485349,141.06875,141.55,141.8140625,0.012567405906752321,0.015191499700030817,8528800.0,7191160.0
2000-02-15,89.13350677490234,141.078125,141.21875,137.796875,139.25,11078300,141.078125,0.011312724014336917,140.421875,141.5640625,141.57734375,0.012702045459588312,0.015437854692255578,11078300.0,7457000.0
2000-02-16,87.82054138183594,139.0,140.9375,138.796875,140.375,8845400,139.0,-0.014730313434488829,139.965625,141.3578125,141.17734375,0.013537098956177981,0.015530073490319225,8845400.0,7720950.0
2000-02-17,87.36644744873047,138.28125,140.4375,138.21875,140.4375,7584200,138.28125,-0.005170863309352569,139.309375,140.8671875,140.85390625,0.012256171381771859,0.01525935145988111,7584200.0,7679620.0
2000-02-18,85.49077606201172,135.3125,138.875,134.625,138.875,9409200,135.3125,-0.021468926553672274,138.634375,140.1390625,140.39765625,0.013529440315818686,0.015857637470397458,9409200.0,8128000.0
2000-02-22,85.27361297607422,134.96875,136.34375,133.53125,135.1875,16415400,134.96875,-0.0025404157043880105,137.728125,139.3984375,140.12890625,0.013503316901106689,0.014706969618464159,16415400.0,9184960.0
2000-02-23,86.28054809570312,136.5625,137.46875,134.5,135.625,12119000,136.5625,0.011808288955776902,136.825,138.6234375,139.86015625,0.013233348128358007,0.014728670479526881,12119000.0,9903220.0
2000-02-24,84.54309844970703,133.8125,137.03125,133.09375,136.6875,17375000,133.8125,-0.020137299771167072,135.7875,137.8765625,139.51015625,0.013122252974476497,0.015239153317986294,17375000.0,10789570.0
2000-02-25,84.23703002929688,133.328125,136.71875,133.125,135.1875,10559900,133.328125,-0.003619803829985946,134.796875,137.053125,139.1640625,0.012891981423256642,0.015237365127540814,10559900.0,11176500.0
2000-02-28,86.00415802001953,136.125,136.6875,132.71875,133.375,13397800,136.125,0.020977381928981575,134.959375,136.796875,139.1765625,0.01429887805728024,0.014499392846395944,13397800.0,11531300.0
2000-02-29,86.83334350585938,137.4375,137.4375,135.75,136.0625,8242500,137.4375,0.009641873278236845,135.453125,136.590625,139.0703125,0.014570651125035338,0.013263057727131992,8242500.0,11502670.0
2000-03-01,87.46517181396484,138.4375,139.0,137.21875,137.625,6868000,138.4375,0.007276034561164213,135.828125,136.3265625,138.9453125,0.014231515321285382,0.013167521202723322,6868000.0,11081640.0
2000-03-02,87.52438354492188,138.53125,139.125,137.34375,138.6875,7600200,138.53125,0.0006772009029345494,136.771875,136.2796875,138.81875,0.013490399158756175,0.013166180633826817,7600200.0,10957120.0
2000-03-03,89.16316986083984,141.125,141.71875,139.71875,140.4375,12770300,141.125,0.018723212271599454,138.33125,136.5640625,138.715625,0.014593998663063282,0.013421494107326673,12770300.0,11475730.0
2000-03-06,88.29441833496094,139.75,141.34375,138.75,140.8125,11967100,139.75,-0.009743135518157642,139.05625,137.0078125,138.5734375,0.01285425876855547,0.013556130423760046,11967100.0,11731520.0
2000-03-07,86.58656311035156,137.046875,140.15625,135.21875,140.0,20062000,137.046875,-0.01934257602862255,138.978125,137.215625,138.30703125,0.014672896747989075,0.014169629885423585,20062000.0,12096180.0
2000-03-08,86.47797393798828,136.875,137.84375,135.03125,136.46875,11808500,136.875,-0.0012541329380914013,138.665625,137.246875,137.93515625,0.01424079287674873,0.013700435602197638,11808500.0,12065130.0
2000-03-09,89.00518798828125,140.875,140.875,136.125,137.25,5500900,140.875,0.029223744292237397,139.134375,137.953125,137.91484375,0.014901483823281185,0.014706715633398948,5500900.0,10877720.0
2000-03-10,88.53132629394531,140.125,142.0,139.53125,140.1875,7924600,140.125,-0.0053238686779059075,138.934375,138.6328125,137.84296875,0.015023504756812743,0.014744424280582286,7924600.0,10614190.0
2000-03-13,87.56388092041016,138.59375,140.46875,135.6875,136.6875,10540500,138.59375,-0.010927743086529884,138.703125,138.8796875,137.83828125,0.014656944821157229,0.014217776505304678,10540500.0,10328460.0
2000-03-14,86.31999206542969,136.625,140.09375,136.15625,139.28125,8263900,136.625,-0.014205186020293081,138.61875,138.7984375,137.69453125,0.015186876311244248,0.014492436572269445,8263900.0,10330600.0
2000-03-15,88.3338851928711,139.8125,140.4375,136.0625,136.875,10300800,139.8125,0.02333028362305578,139.20625,138.9359375,137.63125,0.016855860302642845,0.015256247348561559,10300800.0,10673880.0
2000-03-16,92.4603500366211,146.34375,146.84375,140.875,141.625,25601400,146.34375,0.046714349575324166,140.3,139.7171875,137.9984375,0.022171492055353684,0.01812326988504352,25601400.0,12474000.0
2000-03-17,93.07141876220703,146.9375,148.0,145.4375,145.8125,10272900,146.9375,0.0040572282724749,141.6625,140.2984375,138.43125,0.021695705902367815,0.018028704996114097,10272900.0,12224260.0
2000-03-20,92.5963363647461,146.1875,147.34375,144.78125,146.875,12502300,146.1875,-0.005104210974053558,143.18125,140.9421875,138.975,0.021410920055873774,0.01720294055806931,12502300.0,12277780.0
2000-03-21,94.49658203125,149.1875,149.75,144.5,145.53125,13612600,149.1875,0.02052159042325785,145.69375,142.15625,139.6859375,0.0201049220622294,0.01751081164932504,13612600.0,11632840.0
2000-03-22,95.07062530517578,150.09375,150.84375,148.6875,149.5625,8260000,150.09375,0.006074570590699713,147.75,143.478125,140.3625,0.019833364605234646,0.01744312312228309,8260000.0,11277990.0
