date,Adj Close,Close,High,Low,Open,Volume,close,ret_1,ma_5,ma_10,ma_20,vol_10,vol_20,volume,vol_ma_10,target_next_close,target_up
2000-02-01,89.04464721679688,140.9375,141.6875,138.53125,139.75,8419900,140.9375,0.0098522167487684,139.4875,141.590625,142.5375,0.0183115083665189,0.0216841017335308,8419900.0,8322780.0,141.0625,1
2000-02-02,89.1236343383789,141.0625,142.25,140.375,141.28125,6205900,141.0625,0.0008869179600887,139.5375,140.996875,142.603125,0.0179503180708949,0.0197793170973113,6205900.0,8327580.0,143.1875,1
2000-02-03,90.46622467041016,143.1875,143.25,140.0,140.875,7997500,143.1875,0.0150642445724413,140.125,140.840625,142.7625,0.0183830086114305,0.0200405413628127,7997500.0,8547320.0,142.59375,0
2000-02-04,90.0910873413086,142.59375,144.0,142.125,143.1875,4925400,142.59375,-0.0041466608467918,141.46875,140.65625,143.0046875,0.0184084805201845,0.0196700162246336,4925400.0,8415380.0,142.375,0
2000-02-07,89.95284271240234,142.375,142.78125,141.4375,142.5625,5845800,142.375,-0.0015340784571553,142.03125,140.859375,142.8359375,0.0157679111145415,0.014565537317043,5845800.0,8210270.0,144.3125,1
2000-02-08,91.1770248413086,144.3125,144.5625,143.625,143.96875,4936400,144.3125,0.0136084284460051,142.70625,141.096875,142.7390625,0.0159387085107708,0.0149048838441402,4936400.0,7709660.0,141.28125,0
2000-02-09,89.26183319091797,141.28125,144.46875,141.265625,144.46875,8511500,141.28125,-0.0210047639670852,142.75,141.14375,142.578125,0.0173015649630901,0.0153978029472863,8511500.0,8045000.0,141.5625,1
2000-02-10,89.43952941894531,141.5625,142.5625,140.875,141.625,6690600,141.5625,0.001990710019907,142.425,141.275,142.503125,0.0172334382596404,0.0152640007591751,6690600.0,7621790.0,138.6875,0
2000-02-11,87.62309265136719,138.6875,141.9375,138.03125,141.84375,9849800,138.6875,-0.0203090507726269,141.64375,141.55625,142.1875,0.0151922357395437,0.0155096025341926,9849800.0,7415150.0,139.5,1
2000-02-14,88.13646697998047,139.5,139.78125,138.3125,139.78125,8528800,139.5,0.0058584948174853,141.06875,141.55,141.8140625,0.0125674059067523,0.0151914997000308,8528800.0,7191160.0,141.078125,1
